kind,etag,videoId,publishedAt,channelId,title,description,url,width,height,channelTitle,liveBroadcastContent,publishTime,id,duration,dimension,definition,caption,licensedContent,projection,uploadStatus,privacyStatus,license,embeddable,publicStatsViewable,madeForKids,viewCount,likeCount,favoriteCount,commentCount,topicCategories
youtube#video,T6bga4xvffTRrignW2oIPRccdcs,FHWE_DgDbo8,2017-06-09T05:54:27Z,UChVT1qE0ON0GM2zPx2MlNhA,Muladhara Chakra Meditation,Chakra Yog: http://www.chakrayog.com Neeta Singhal: http://www.neetasinghal.com Muladhara Chakra also known as Root ...,https://i.ytimg.com/vi/FHWE_DgDbo8/hqdefault.jpg,480,360,Sakhashree Neeta,none,2017-06-09T05:54:27Z,FHWE_DgDbo8,PT6M57S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,11761,108,0,3,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']"
youtube#video,39TyrHuE67unghNkVsAzdj9JcS8,CFVSBTlgvrQ,2020-10-23T11:00:02Z,UC0UlnVbf-RQo_zBvgaGgAzA,Hoy es el día de mi maravillosa buena fortuna | Florence Scovel Shinn,"""¡Sucede lo inesperado!"" Esta es una idea que la mente razonadora, el intelecto, no puede afrontar. Cuando repites esta declaración una y otra vez, ""detiene todos los argumentos del ejército de los extraterrestres (la mente razonadora) según Florence Scovel Shinn.

¡Espera lo inesperado y tu glorioso bien se cumplirá!

Si crees en Él, hoy seguramente será el día de tu asombrosa buena fortuna.

Fuente: Obras completas de Florence Scovel Shinn -- Enlace afiliado: https://amzn.to/3wO2aXW

Para escuchar el audiolibro ""El juego de la vida y cómo jugarlo"", enlace afiliado:
https://amzn.to/3iVYfEk

Para escuchar otros audiolibros: pruebe Audible Premium Plus y obtenga hasta dos audiolibros gratuitos -- Enlace afiliado:
https://amzn.to/3cUKdyR

Los más queridos de los clientes: https://amzn.to/3yoSuEC

Como asociado de Amazon, ganamos con las compras calificadas que realiza con los enlaces anteriores sin costos adicionales para usted y estará apoyando este canal.

¡Un gran gracias! a los seguidores y suscriptores de este canal!
--------
Si desea mostrar su aprecio por lo que hacemos, puede compartir nuestros videos y/o apoyarnos aquí -: Paypal:- https://paypal.me/HermeticTruths
--------

Esta grabación fue realizada por Vira K. quien libremente brindó su tiempo y su voz para ayudar a este canal pero principalmente a nuestros televidentes para que puedan beneficiarse al escuchar estas afirmaciones de Florence Scovel Shinn. Le estamos eternamente agradecidos.

#HermeticphysicalTruths #HTAffirmations #FlorenceScovelShinn #FSSAffirmations #ProsperityAffirmation #PowerfulAffirmation #LoveAffirmation #HappinessAffirmation #SuccessAffirmation

Descargo de responsabilidad de derechos de autor Según la Sección 107 de la Ley de derechos de autor de 1976, se permite el ""uso justo"" para fines tales como críticas, comentarios, informes de noticias, enseñanza, becas e investigación. El uso justo es un uso permitido por el estatuto de derechos de autor que de otro modo podría estar infringiendo. El uso personal, educativo o sin fines de lucro inclina la balanza a favor del uso justo.",https://i.ytimg.com/vi/CFVSBTlgvrQ/hqdefault.jpg,480,360,Hermetic Truths,none,2020-10-23T11:00:02Z,CFVSBTlgvrQ,PT10M1S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,44267,1042,0,64,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
youtube#video,xm8oBFzCeXu8iryRxW_GqHYVfrk,Q1H2Cd1eHK8,2024-03-02T01:30:10Z,UCjrXsqIS-ejdBzU--jdvFfg,Improve Your Focus with 15 min Guided Meditation - Dhyan Sadhana,"Hari Om Today's video is on ""Breathing Vipasana Meditation 1"". Watch our video to know more Watch our channels to know ...",https://i.ytimg.com/vi/Q1H2Cd1eHK8/hqdefault.jpg,480,360,Premmayi Gurumaa,none,2024-03-02T01:30:10Z,Q1H2Cd1eHK8,PT15M26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,834,66,0,12,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Religion']"
youtube#video,l-pBwISypHXrdj7EZCKNZe2cPdA,YD5W5eZy90c,2022-02-10T10:00:13Z,UCN4vyryy6O4GlIXcXTIuZQQ,Una excelente meditación matutina de 5 minutos para empezar tu día.,"Esta meditación matutina original de 5 minutos, grabada por nosotros y doblada digitalmente al español. Utilizando una combinación estimulante y refrescante de trabajo con la respiración y afirmaciones, te ayudará a sintonizarte con vibraciones amorosas para el día que tienes por delante. Regálate el regalo de esta meditación matutina de 5 minutos para despertar con un sentido de gratitud, paz y conexión amorosa con quien eres plenamente.",https://i.ytimg.com/vi/YD5W5eZy90c/hqdefault.jpg,480,360,Great Meditation,none,2022-02-10T10:00:13Z,YD5W5eZy90c,PT5M14S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,967865,22077,0,375,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Religion']"
youtube#video,nwE3ZUR_LXW5kf4kqHWwMt5xR7Y,YF_P1ZzYgjA,2018-10-13T11:00:04Z,UChSpME3QaSFAWK8Hpmg-Dyw,Daily Calm | 10 Minute Mindfulness Meditation | Forgetting Time,Tamara Levitt guides this 10 minute Daily Calm mindfulness meditation. Enjoy an experiential practice that explores the ...,https://i.ytimg.com/vi/YF_P1ZzYgjA/hqdefault.jpg,480,360,Calm,none,2018-10-13T11:00:04Z,YF_P1ZzYgjA,PT10M23S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1263239,14657,0,219,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']"
youtube#video,qS5QvQ__JQE6917Qm61KkHNFY94,grSlJiT1XAY,2023-02-13T11:00:33Z,UC0dJDW1i1vgwGXJ19wjIHPg,Only Good Will Come | Louise Hay Affirmations | Everything Is Working Out,"In this video, Bob Baker pays tribute to the legendary self-help author and motivational speaker Louise Hay, by reading her powerful affirmations that encourage us to focus on the positive and trust that everything will work out for our highest good. This video is designed to help you cultivate a mindset of positivity, hope, and self-love, even in the face of life's challenges. Read by Bob Baker (c) 2022

Whether you are facing a difficult situation or simply looking to improve your mental and emotional well-being, the affirmations in this video are sure to inspire and uplift you. Let Bob's calming voice guide you on a journey of self-discovery and personal growth. Remember, only good will come, and everything is truly working out for your highest good.

#LouiseHay #Affirmations #AllIsWell #PersonalGrowth #PositiveThinking

Louise Hay, Affirmations, Tribute, Positive Thinking, Mindset, Hope, Self-Love, Self-Help, Personal Growth, Inspiration, Uplifting, Emotional Well-being, Bob Baker, Self-discovery, Calming Voice, Journey, Life Challenges, Good Vibes, Everything is Working Out

Get your free copy of ""How to Turbo-Charge Your Life! 5 Steps to Unleashing Your Purpose, Passion, and Play"" https://bob-baker.aweb.page/turbo-charge-your-life

SUBSCRIBE to the channel so you don’t miss new videos every week
https://www.youtube.com/channel/UC0dJDW1i1vgwGXJ19wjIHPg?sub_confirmation=1

PURCHASE my book, ""The Power of Affirmations and Positive Self-Talk."" Info at https://bobbaker.samcart.com/products/power-of-affirmations-book/

TEXT ME! To receive short inspirational messages from Bob, send a short text to 314-742-8339 if you have a number based in the US or Canada. Cancel at any time. For all other countries, join my Telegram channel at https://t.me/BobBakerInspiration

GET my ""21-Day Abundance and Money Attraction Brain Boost"" at https://bobbaker.samcart.com/products/21-day-abundance-boost/

FOLLOW Bob Baker’s Inspiration Project on Spotify https://open.spotify.com/artist/2h5dkU6stcyzAXjMcgb1fe

PURCHASE Bob's tracks at https://soulmassage.bandcamp.com/

SAMPLE my most popular album here https://bobbakerinspiration.hearnow.com

0:00 Only Good Will Come Intro
0:48 Louise Hay Affirmations
7:31 Power Thoughts Louise Hay Affirmations
12:19 Everything Is Working Out Final Thoughts

===

Also enjoy these YouTube playlists ...

Start Your Day Morning Affirmations https://www.youtube.com/playlist?list=PLCNbem8fOiHr_JOONo7VUlJWbxMiJv23K

Positive Music, Happy Songs https://www.youtube.com/playlist?list=PL839E1C5A50E4908F

Abundance, Prosperity, and Wealth Attraction https://www.youtube.com/playlist?list=PLCNbem8fOiHpDs4L9YQTKFfS8E_UfCZpZ

Confidence, Self-Esteem, and Self-Worth https://www.youtube.com/playlist?list=PLCNbem8fOiHpDj_trJTSkZo07DJwiaesS

Gratitude Affirmations for Morning and Night https://www.youtube.com/playlist?list=PLCNbem8fOiHqE1jsDOHSM0JfWDZJcmEOd

Affirmations for Health, Healing & Weight Loss https://www.youtube.com/playlist?list=PLCNbem8fOiHpwSp6bGTqbo2qVc3uSfOh7

Bedtime Sleep Affirmations for Prosperity, Success & Abundance https://www.youtube.com/playlist?list=PLCNbem8fOiHq1Mn796oKmiu63oo8mRG9q

Love, Romance, Relationships, and Dating https://www.youtube.com/playlist?list=PLCNbem8fOiHokrSBwFTMdbsmwdmQ3WKbv

Morning Affirmations for Wealth, Abundance and Confidence https://www.youtube.com/playlist?list=PLCNbem8fOiHomHEiGaCIwgQGc6MnKfvx0

Guided Meditations for Wealth, Abundance and Creativity https://www.youtube.com/playlist?list=PLCNbem8fOiHpxMsebKoEm7qHO14T4KJVE

Affirmations for Creativity, Success and Abundance https://www.youtube.com/playlist?list=PLCNbem8fOiHrIgeCbuuWQVZD0SL91bHjb

21 Day Meditation Challenge Videos https://www.youtube.com/playlist?list=PLCNbem8fOiHq8UnWVH66CYWQDW5mDkUG8

===

Also, I've published many books over the years, including:
The Passion Principles https://amzn.to/37jxcKs
The Empowered Artist https://amzn.to/2TX7APo
Personal and Spiritual Growth for Fun People https://amzn.to/2NRqSCf
Guerrilla Music Marketing Handbook https://amzn.to/37h4wSd
The DIY Career Manifesto https://amzn.to/2RkubUn
The 9 Irrefutable Laws of Music Marketing https://amzn.to/30MJEjj
Branding Yourself Online https://amzn.to/2RKafJF
The Guerrilla Guide to Book Marketing https://amzn.to/2GhVSXH

Visit my AMAZON author page at https://author.to/BobBaker to see all of my titles.

===

If you like Louise Hay, Wayne Dyer, Abraham Hicks, Deepak Chopra, Esther Hicks, Brene Brown, Michael Beckwith, Gabrielle Bernstein, Marianne Williamson, Michael Singer, Eckhart Tolle, Ram Dass, Byron Katie, Shakti Gawain, Neale Donald Walsch, Gary Zukav, Jack Kornfield, or Joe Vitale ... you'll LOVE this video!

===

Connect with me on …
INSTAGRAM https://www.instagram.com/mrbuzzfactor/
FACEBOOK https://www.facebook.com/BobBakerInspiration/
LINKEDIN https://www.linkedin.com/in/buzzfactor/
MEDIUM https://medium.com/@MrBuzzFactor
TWITTER https://twitter.com/MrBuzzFactor
TIKTOK https://www.tiktok.com/@bobbakerstl

===",https://i.ytimg.com/vi/grSlJiT1XAY/hqdefault.jpg,480,360,Bob Baker Affirmations,none,2023-02-13T11:00:33Z,grSlJiT1XAY,PT13M41S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,324526,6725,0,194,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
youtube#video,Qo2Q7MNwaXfWUTPMbPxNlN4xpJQ,MAuh0BP3PCA,2023-06-26T19:37:27Z,UCZzuauSCw9aXx-tUB-E7Tfw,Miracle Morning Affirmations | Kick Start Your Day with Positive Vibrations [Law of Attraction],This powerful law of attraction affirmations meditation will help you raise your vibrations and set powerful intentions out to the ...,https://i.ytimg.com/vi/MAuh0BP3PCA/hqdefault.jpg,480,360,Master Sri Akarshana,none,2023-06-26T19:37:27Z,MAuh0BP3PCA,PT17M,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,147320,3134,0,156,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Religion']"
youtube#video,oceY9vUshkOv2sRRCaXWTB8Kft0,MhZSS-gGVd4,2024-02-25T15:00:08Z,UChlWUyYN15CLnOUqo2PkJCA,It's the repetition of affirmations that leads to belief,"The power of repetition, when using positive affirmations to manifest your ideal life, is unmatched in changing the subconscious mind. Our conscious mind is responsible for creativity and our self awareness, but it's our subconscious mind that is infinitely more powerful. Neville Goddard once wrote that the door to heaven is through sleep which is where we access our subconscious mind in order to manifest our chosen reality. You can enhance your manifestation practice by understanding the pivotal role that repetition plays in imprinting the subconscious mind. 

The great Muhammad Ali once said ""It's the repetition of affirmations that leads to belief. And once that belief becomes a deep conviction, things begin to happen.""

Manifestation thrives on the reinforcement of ideas within the mind, boosting the probability of their real-world materialization. Strengthening neurological pathways associated with your thoughts amplifies the chances of turning them into your own desired reality. Repetition plays a crucial role in manifestation, as it contributes to hardening your assumptions into fact. 

In this video, I explore how repetition plays a crucial role in every aspect of your manifestation practice and how you can harness it's power to shape the life that you've always wanted to live.

Chapters
00:00 Introduction
01:11 Understanding The Mind
02:20 How to access the subconscious mind
03:18 What resides in the subconscious
04:50 Repetition & How to Reprogram Your Mind
06:44 Visualization & Affirmations
08:30 How visualization changes your brain
09:01 How positive affirmations change your brain
10:45 How I use positive affirmations
11:27 Conclusion

👇🏾 Follow Here Nor There👇🏾

@TikTok → https://www.tiktok.com/@heren0rthere
@Instagram → https://www.instagram.com/heren0rthere/
@Facebook → https://www.facebook.com/groups/355701380571120/
@Twitter →  https://twitter.com/HereN0RThere

Book a 1-on-1 Private Coaching Session: 
https://calendly.com/herenorthere

🔊 Outro Music: 
https://soundcloud.com/overturebeatsoriginal/when-i-need-you-most
https://open.spotify.com/track/3rTMe64DqEtY61YmNiCbxt",https://i.ytimg.com/vi/MhZSS-gGVd4/hqdefault.jpg,480,360,Here Nor There,none,2024-02-25T15:00:08Z,MhZSS-gGVd4,PT12M35S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,3244,317,0,81,['https://en.wikipedia.org/wiki/Religion']
youtube#video,3jWn3Mxp_CIWZV8YNFAYcbKVlJU,cqlN2AvkGC0,2024-02-27T10:23:56Z,UCJk_yzL9dBgFC57_ykadCBg,"Relaxing Music 24/7, Stress Relief Music, Sleep Music, Meditation Music, Study, Calming","Relax Deep music. Relaxing Music 24/7, Stress Relief Music, Sleep Music, Meditation Music, Study, Calming Music #spamusic ...",https://i.ytimg.com/vi/cqlN2AvkGC0/hqdefault.jpg,480,360,Relax Deep Music,none,2024-02-27T10:23:56Z,cqlN2AvkGC0,PT10M2S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,4,3,0,0,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music']"
youtube#video,ZHQQMYcwvyZhrpuPhrMDpn1wlcA,_tWzCP0s22U,2021-05-10T10:30:03Z,UC0dJDW1i1vgwGXJ19wjIHPg,10 Most Powerful Affirmations of All Time | New Updated Version | Bob Baker,"Enjoy this new updated version of the 10 Most Powerful Affirmations of All Time. I published the original version of this popular video about nine months ago, and in a short time, it hit one million views. It’s now close to 2 million, which proves that these 10 affirmations resonate with a lot of people. Includes powerful affirmations, best affirmations, top 10 affirmations, most powerful affirmations, bob baker affirmations, listen for 21 days.

10 Most Powerful Affirmations of All Time - check out the new 2023 music version at https://youtu.be/MiRZyP7Dkio
And the original 2020 version at https://youtu.be/5fQv1kHCAC4

Join the new High-Vibe Tribe Community at https://bobbakerinspiration.com/tribe

Ready to take your life to the next level? Submit your application to our VIP Mentorship Program at https://www.bobbakerinspiration.com/vip

PURCHASE Bob's book, ""The Power of Affirmations and Positive Self-Talk."" Info at https://bobbakerinspiration.com/book

Get your FREE copy of ""How to Turbo-Charge Your Life!"" at https://bob-baker.aweb.page/turbo-charge-your-life - 5 Steps to Unleashing Purpose, Passion, and Play

SUBSCRIBE to the channel so you don’t miss all the new videos I publish every week
https://www.youtube.com/channel/UC0dJDW1i1vgwGXJ19wjIHPg?sub_confirmation=1

SAMPLE the “21-Day Abundance and Money Attraction Brain Boost” for free at https://bobbaker.samcart.com/products/21-day-abundance-boost

FOLLOW Bob Baker’s Inspiration Project on Spotify https://open.spotify.com/artist/2h5dkU6stcyzAXjMcgb1fe

SAMPLE my most popular album here https://bobbakerinspiration.hearnow.com

Thanks to https://BetterHelp.com/BobBaker​ for sponsoring this video. Yes, you can take important steps to improve your mindset, but if you’re really having a tough time, don’t try to power through it alone. Get the help you need from a licensed therapist. If you use the BetterHelp service, I will receive a commission. That won’t affect your rate at all, but it will help support my channel so I can create more videos like this one.

0:00 Affirmations Intro
0:55 10 Most Powerful Affirmations of All Time
9:46 Final thoughts

===

Also enjoy these YouTube playlists ...

Start Your Day Morning Affirmations https://www.youtube.com/playlist?list=PLCNbem8fOiHr_JOONo7VUlJWbxMiJv23K

Abundance, Prosperity, and Wealth Attraction https://www.youtube.com/playlist?list=PLCNbem8fOiHpDs4L9YQTKFfS8E_UfCZpZ

Confidence, Self-Esteem, and Self-Worth https://www.youtube.com/playlist?list=PLCNbem8fOiHpDj_trJTSkZo07DJwiaesS

Gratitude Affirmations for Morning and Night https://www.youtube.com/playlist?list=PLCNbem8fOiHqE1jsDOHSM0JfWDZJcmEOd

Bedtime Sleep Affirmations for Prosperity, Success & Abundance https://www.youtube.com/playlist?list=PLCNbem8fOiHq1Mn796oKmiu63oo8mRG9q

Morning Affirmations for Wealth, Abundance and Confidence https://www.youtube.com/playlist?list=PLCNbem8fOiHomHEiGaCIwgQGc6MnKfvx0

Guided Meditations for Wealth, Abundance and Creativity https://www.youtube.com/playlist?list=PLCNbem8fOiHpxMsebKoEm7qHO14T4KJVE

Affirmations for Creativity, Success and Abundance https://www.youtube.com/playlist?list=PLCNbem8fOiHrIgeCbuuWQVZD0SL91bHjb

21 Day Meditation Challenge Videos https://www.youtube.com/playlist?list=PLCNbem8fOiHq8UnWVH66CYWQDW5mDkUG8

===

#Affirmations #BestAffirmations #21days #BobBaker  #Positivity #lawofattraction #MorningAffirmations

affirmations of all time, 21 days, morning affirmations, affirmations, law of attraction, success, money, prosperity, wealth, positive affirmations, money affirmations, powerful money affirmations, affirmations for success, abundance, increasing motivation, creating miracles, subconscious mind, the secret, positive statements, wealth and abundance, rewire your brain, the 7 most powerful affirmations for wealth

===

Also, I've published many books over the years, including:
The Passion Principles https://amzn.to/37jxcKs
The Empowered Artist https://amzn.to/2TX7APo
Personal and Spiritual Growth for Fun People https://amzn.to/2NRqSCf
Guerrilla Music Marketing Handbook https://amzn.to/37h4wSd
The DIY Career Manifesto https://amzn.to/2RkubUn
The 9 Irrefutable Laws of Music Marketing https://amzn.to/30MJEjj
Branding Yourself Online https://amzn.to/2RKafJF
The Guerrilla Guide to Book Marketing https://amzn.to/2GhVSXH

Visit my AMAZON author page at https://author.to/BobBaker to see all of my titles.

===

Written and read by Bob Baker (c) 2021
Original background music by Gregory Cain (c) 2020. Hear more of his music at https://gregorycain.bandcamp.com

===

Connect with me on …
FACEBOOK https://www.facebook.com/BobBakerInspiration/
TWITTER https://twitter.com/MrBuzzFactor
INSTAGRAM https://www.instagram.com/mrbuzzfactor/
LINKEDIN https://www.linkedin.com/in/buzzfactor/
TIKTOK https://www.tiktok.com/@bobbakerstl
MEDIUM https://medium.com/@MrBuzzFactor

===",https://i.ytimg.com/vi/_tWzCP0s22U/hqdefault.jpg,480,360,Bob Baker Affirmations,none,2021-05-10T10:30:03Z,_tWzCP0s22U,PT11M4S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,1315503,15366,0,472,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']"
